QUARTER	GOLD (MM USD)	GOLD (TONS)	PRICE PER TON
Q1 2006	537.01 	30.19 	18
Q2 2006	545.20 	26.50 	21
Q3 2006	548.57 	27.67 	20
Q4 2006	576.98 	28.39 	20
Q1 2007	603.72 	28.34 	21
Q2 2007	590.88 	27.85 	21
Q3 2007	669.24 	30.72 	22
Q4 2007	761.84 	29.59 	26
Q1 2008	842.92 	27.30 	31
Q2 2008	840.42 	29.23 	29
Q3 2008	826.19 	31.96 	26
Q4 2008	794.46 	31.53 	25
Q1 2009	836.07 	27.57 	30
Q2 2009	855.74 	27.95 	31
Q3 2009	906.50 	29.22 	31
Q4 2009	997.59 	26.77 	37
Q1 2010	1,005.56 	28.04 	36
Q2 2010	1,130.39 	28.98 	39
Q3 2010	1,193.55 	29.92 	40
Q4 2010	1,594.41 	35.96 	44
Q1 2011	1,614.45 	35.62 	45
Q2 2011	1,714.78 	35.05 	49
Q3 2011	2,205.71 	37.49 	59
Q4 2011	2,109.07 	38.41 	55
Q1 2012	2,263.72 	40.85 	55
Q2 2012	2,122.83 	41.69 	51
Q3 2012	2,429.65 	44.97 	54
Q4 2012	2,267.32 	41.05 	55
Q1 2013	2,206.34 	43.20 	51
Q2 2013	1,647.23 	36.94 	45
Q3 2013	1,829.47 	41.29 	44
Q4 2013	1,647.40 	41.21 	40
Q1 2014	1,774.02 	41.28 	43
Q2 2014	1,804.94 	44.27 	41
Q3 2014	1,664.41 	40.61 	41
Q4 2014	1,642.32 	42.54 	39
Q1 2015	1,624.43 	42.21 	38
Q2 2015	1,616.59 	42.15 	38
Q3 2015	1,544.17 	42.60 	36
Q4 2015	1,455.14 	42.25 	34
Q1 2016	1,679.52 	42.26 	40
Q2 2016	1,813.80 	45.21 	40
Q3 2016	1,818.02 	42.48 	43
Q4 2016	1,594.65 	41.90 	38
Q1 2017	1,711.00 	43.26 	40
Q2 2017	1,712.05 	42.10 	41
Q3 2017	1,768.67 	41.90 	42
Q4 2017	1,787.10 	43.65 	41
Q1 2018	1,827.13 	42.78 	43
Q2 2018	1,721.27 	41.29 	42
Q3 2018	1,632.00 	42.43 	38
Q4 2018	1,768.09 	44.70 	40
Q1 2019	1,782.60 	42.22 	42
Q2 2019	1,944.81 	46.37 	42
Q3 2019	2,068.54 	42.48 	49
Q4 2019	2,093.42 	44.41 	47
Q1 2020	2,237.81 	42.58 	53
Q2 2020	2,444.27 	44.07 	55
Q3 2020	2,619.54 	41.84 	63
Q4 2020	2,613.46 	44.20 	59
Q1 2021	2,323.67 	41.18 	56
Q2 2021	2,435.32 	40.27 	60
Q3 2021	2,383.54 	41.23 	58
Q4 2021	2,511.00 	43.33 	58
Q1 2022	2,675.40 	43.05 	62
Q2 2022	2,513.67 	42.44 	59
Q3 2022	2,295.13 	41.23 	56
Q4 2022	2,518.73 	44.22 	57
Q1 2023	2,746.79 	46.46 	59
Q2 2023	2,169.94 	34.36 	63
Q3 2023	1,466.62 	23.78 	62
Q4 2023	1,566.26 	23.51 	67
Q1 2024	1,553.70 	23.19 	67
Q2 2024	1,666.38 	22.07 	76
Q3 2024	1,889.80 	23.43 	81
Q4 2024	1,889.30 	22.13 	85