YEAR	EXPORT FOB	EXPORT BASE 2000
2000	1,246.10 	1,246.10
2001	1,284.82 	1,265.19
2002	1,298.70 	1,249.16
2003	1,597.38 	1,508.11
2004	2,165.84 	1,980.32
2005	2,826.72 	2,499.23
2006	3,951.55 	3,407.18
2007	4,504.16 	3,731.38
2008	6,525.14 	5,400.68
2009	4,960.36 	3,996.79
2010	6,751.76 	5,360.03
2011	8,875.05 	6,842.93
2012	11,726.28 	8,886.60
2013	12,149.97 	9,071.46
2014	12,809.71 	9,492.23
2015	8,684.02 	6,388.41
2016	7,029.95 	5,066.48
2017	8,133.84 	5,740.97
2018	8,940.20 	6,191.84
2019	8,827.82 	5,977.42
2020	7,013.10 	4,684.84
2021	11,145.70 	6,956.02
2022	13,541.19 	7,938.65
2023	10,793.38 	6,122.48
2024	8,930.11 	4,923.37