YEAR	EXPORTS	IMPORTS
2000	1,246.10 	1,829.70
2001	1,284.82 	1,707.68
2002	1,298.70 	1,774.90
2003	1,597.38 	1,615.91
2004	2,165.84 	1,876.86
2005	2,826.72 	2,430.82
2006	3,951.55 	2,915.73
2007	4,504.16 	3,585.68
2008	6,525.14 	5,081.37
2009	4,960.36 	4,544.94
2010	6,751.76 	5,198.44
2011	8,875.05 	7,356.23
2012	11,726.28 	7,970.60
2013	12,149.97 	9,033.91
2014	12,809.71 	9,893.85
2015	8,684.02 	9,071.90
2016	7,029.95 	7,930.77
2017	8,133.84 	8,680.87
2018	8,940.20 	9,301.94
2019	8,827.82 	9,085.85
2020	7,013.10 	6,333.86
2021	11,145.70 	8,216.07
2022	13,541.19 	10,728.20
2023	10,793.38 	10,531.91
2024	8,930.11 	9,151.80