Month	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
Enero	3.52	3.10	0.69	2.86	4.17	5.41	3.91	6.02	11.35	11.04	0.07	8.38	5.86	4.92	6.05	5.94	2.39	3.68	2.93	1.43	1.21	1.17	0.74	3.14	1.86	12.03
Febrero	3.56	2.65	0.93	2.42	4.59	5.26	4.18	6.57	13.32	8.13	0.31	10.00	4.64	5.08	6.17	5.49	2.64	3.46	2.87	0.95	1.30	1.40	0.70	2.57	2.52	13.22
Marzo	4.63	1.80	0.85	2.80	4.25	5.71	3.72	7.19	14.08	6.56	0.69	11.11	4.03	5.04	6.12	4.75	3.28	3.34	2.73	1.06	1.44	1.16	0.77	2.53	3.06	14.63
Abril	5.80	1.04	0.61	3.16	3.94	5.29	4.26	6.76	15.22	5.32	1.22	11.03	4.17	4.95	6.22	4.14	4.13	2.51	3.01	1.35	1.72	0.68	0.87	2.70	3.46	15.01
Mayo	4.39	2.13	0.83	3.13	4.35	5.57	4.43	6.36	16.84	3.20	1.38	11.27	4.47	4.72	6.38	4.08	5.02	1.25	3.15	1.69	1.23	0.54	1.41	2.90	3.52
Junio	4.21	2.68	0.20	3.23	4.92	6.40	3.49	6.59	17.32	2.12	1.33	11.28	4.54	4.81	7.33	3.19	4.16	1.84	3.17	1.73	1.44	0.19	1.79	2.73	3.84
Julio	4.75	3.17	-0.58	3.42	4.84	5.35	4.55	8.84	14.79	1.45	2.16	11.18	4.39	5.05	7.47	3.06	3.56	2.57	2.44	1.92	1.35	0.20	2.04	2.70	3.95
Agosto	4.62	2.09	0.30	3.85	4.54	5.35	4.39	10.36	13.73	1.42	2.60	10.43	4.36	6.08	6.11	3.20	3.49	3.25	1.82	2.25	1.39	0.18	1.55	3.06	5.19
Septiembre	5.92	-0.02	1.03	3.62	4.27	5.53	4.31	10.48	14.51	0.64	3.27	9.93	4.43	7.13	4.30	4.08	3.47	3.61	0.92	2.26	0.46	0.99	1.89	2.85	6.18
Octubre	6.58	-1.27	1.50	4.35	3.82	5.07	4.41	11.34	13.30	0.78	4.20	9.11	4.34	7.50	3.64	4.32	3.50	3.01	1.31	2.54	0.28	0.49	2.89	2.08	7.94
Noviembre	3.79	1.08	2.27	3.26	4.93	4.96	4.74	11.86	12.08	0.46	5.57	8.26	4.49	6.96	4.41	3.64	3.88	2.67	1.50	3.41	-1.10	0.96	3.17	1.59	9.51
Diciembre	3.41	0.92	2.45	3.94	4.62	4.91	4.95	11.73	11.85	0.26	7.18	6.90	4.54	6.48	5.19	2.95	4.00	2.71	1.51	1.47	0.67	0.90	3.12	2.12	9.97