ENE 2006	1,823.47 	517.59 	1,321.70
FEB 2006	1,875.33 	501.22 	1,388.47
MAR 2006	2,012.69 	537.01 	1,490.27
ABR 2006	2,214.14 	577.22 	1,651.16
MAY 2006	2,401.29 	597.26 	1,815.92
JUN 2006	2,474.07 	545.20 	1,943.36
JUL 2006	2,671.30 	578.93 	2,106.72
AGO 2006	2,773.63 	563.67 	2,217.75
SEP 2006	2,885.22 	548.57 	2,349.28
OCT 2006	2,970.67 	550.80 	2,432.00
NOV 2006	3,070.69 	579.84 	2,503.80
DIC 2006	3,174.31 	576.98 	2,612.28
ENE 2007	3,237.51 	589.69 	2,662.87
FEB 2007	3,362.98 	601.23 	2,776.58
MAR 2007	3,532.69 	603.72 	2,943.65
ABR 2007	3,733.76 	621.51 	3,127.49
MAY 2007	3,837.29 	594.45 	3,257.43
JUN 2007	3,885.79 	590.88 	3,292.02
JUL 2007	4,092.48 	603.09 	3,491.14
AGO 2007	4,368.01 	604.35 	3,760.63
SEP 2007	4,742.54 	669.24 	4,072.63
OCT 2007	4,898.85 	710.06 	4,189.29
NOV 2007	5,063.30 	721.08 	4,342.31
DIC 2007	5,302.07 	761.84 	4,539.51
ENE 2008	5,604.95 	844.84 	4,760.34
FEB 2008	5,990.12 	884.92 	5,104.55
MAR 2008	6,188.75 	842.92 	5,345.81
ABR 2008	6,465.45 	787.95 	5,673.07
MAY 2008	6,794.57 	796.45 	5,997.47
JUN 2008	7,073.61 	840.42 	6,230.25
JUL 2008	7,398.01 	821.63 	6,575.67
AGO 2008	7,682.97 	760.14 	6,923.62
SEP 2008	7,810.73 	826.19 	6,983.10
OCT 2008	7,535.29 	672.26 	6,861.54
NOV 2008	7,617.75 	744.20 	6,870.84
DIC 2008	7,722.03 	794.46 	6,927.71
ENE 2009	7,783.50 	826.71 	6,956.37
FEB 2009	7,679.11 	861.02 	6,817.50
MAR 2009	7,764.97 	836.07 	6,926.13
ABR 2009	7,740.19 	820.45 	6,919.34
MAY 2009	7,894.58 	874.96 	7,019.15
JUN 2009	7,955.65 	855.74 	7,098.76
JUL 2009	8,008.19 	852.31 	7,153.27
AGO 2009	8,310.01 	873.27 	7,433.80
SEP 2009	8,453.46 	906.50 	7,546.88
OCT 2009	8,599.16 	956.65 	7,640.79
NOV 2009	8,760.17 	1,075.97 	7,684.48
DIC 2009	8,580.10 	997.59 	7,582.90
ENE 2010	8,558.37 	992.29 	7,566.04
FEB 2010	8,523.51 	1,006.78 	7,516.61
MAR 2010	8,447.34 	1,005.56 	7,442.97
ABR 2010	8,440.24 	1,064.51 	7,375.66
MAY 2010	8,455.69 	1,107.54 	7,348.74
JUN 2010	8,537.32 	1,130.39 	7,406.14
JUL 2010	8,616.87 	1,064.54 	7,552.76
AGO 2010	8,737.18 	1,128.16 	7,610.32
SEP 2010	9,058.47 	1,193.55 	7,864.87
OCT 2010	9,207.68 	1,224.46 	7,982.97
NOV 2010	9,263.37 	1,244.80 	8,018.96
DIC 2010	9,718.81 	1,594.41 	8,124.95
ENE 2011	10,016.12 	1,519.85 	8,495.90
FEB 2011	10,347.45 	1,600.30 	8,746.37
MAR 2011	10,475.11 	1,614.45 	8,859.70
ABR 2011	10,747.65 	1,745.16 	9,000.78
MAY 2011	10,676.73 	1,747.19 	8,929.47
JUN 2011	10,749.78 	1,714.78 	9,034.83
JUL 2011	11,026.98 	1,834.24 	9,192.60
AGO 2011	11,632.06 	2,505.02 	9,130.33
SEP 2011	11,408.14 	2,205.71 	9,202.22
OCT 2011	11,902.66 	2,375.15 	9,527.68
NOV 2011	12,114.15 	2,342.47 	9,771.50
DIC 2011	12,018.55 	2,109.07 	9,909.95
ENE 2012	12,488.94 	2,357.63 	10,131.50
FEB 2012	12,739.12 	2,431.02 	10,307.79
MAR 2012	12,746.65 	2,263.72 	10,481.87
ABR 2012	12,573.12 	2,258.10 	10,315.05
MAY 2012	12,421.88 	2,133.07 	10,288.96
JUN 2012	12,439.76 	2,122.83 	10,315.53
JUL 2012	12,747.99 	2,211.93 	10,535.37
AGO 2012	13,063.70 	2,261.44 	10,802.19
SEP 2012	13,419.26 	2,429.65 	10,989.42
OCT 2012	13,771.75 	2,340.24 	11,431.68
NOV 2012	13,925.79 	2,365.13 	11,560.35
DIC 2012	13,926.72 	2,267.32 	11,659.32
ENE 2013	14,049.00 	2,297.85 	11,750.84
FEB 2013	14,100.62 	2,189.93 	11,910.88
MAR 2013	14,187.68 	2,206.34 	11,982.20
ABR 2013	14,206.26 	2,023.04 	12,182.97
MAY 2013	14,007.63 	1,912.56 	12,094.57
JUN 2013	13,951.70 	1,647.23 	12,303.82
JUL 2013	14,310.63 	1,818.08 	12,492.48
AGO 2013	14,401.29 	1,928.24 	12,473.14
SEP 2013	14,517.55 	1,829.47 	12,687.00
OCT 2013	14,249.98 	1,840.35 	12,409.25
NOV 2013	14,228.17 	1,705.27 	12,522.23
DIC 2013	14,430.14 	1,647.40 	12,782.78
ENE 2014	14,519.41 	1,706.57 	12,812.69
FEB 2014	14,557.70 	1,823.49 	12,733.99
MAR 2014	14,490.56 	1,774.02 	12,716.05
ABR 2014	14,533.06 	1,776.45 	12,754.30
MAY 2014	14,540.69 	1,719.65 	12,820.59
JUN 2014	14,808.85 	1,804.94 	13,003.59
JUL 2014	14,873.38 	1,776.31 	13,097.22
AGO 2014	15,395.17 	1,765.73 	13,630.56
SEP 2014	15,271.85 	1,664.41 	13,607.60
OCT 2014	15,386.73 	1,640.28 	13,746.37
NOV 2014	15,477.40 	1,634.79 	13,842.76
DIC 2014	15,122.84 	1,642.32 	13,480.83
ENE 2015	15,087.16 	1,722.46 	13,364.84
FEB 2015	15,143.51 	1,652.55 	13,490.96
MAR 2015	14,967.53 	1,624.43 	13,343.13
ABR 2015	14,840.97 	1,651.81 	13,189.68
MAY 2015	14,647.68 	1,627.31 	13,020.43
JUN 2015	14,707.94 	1,616.59 	13,091.77
JUL 2015	14,486.08 	1,491.74 	12,994.33
AGO 2015	14,352.66 	1,554.44 	12,798.58
SEP 2015	14,226.77 	1,544.17 	12,685.05
OCT 2015	13,967.16 	1,571.76 	12,395.69
NOV 2015	13,528.43 	1,450.36 	12,078.23
DIC 2015	13,055.90 	1,455.14 	11,601.01
ENE 2016	12,818.31 	1,528.79 	11,289.50
FEB 2016	12,787.38 	1,678.98 	11,108.39
MAR 2016	12,482.76 	1,679.52 	10,803.36
ABR 2016	12,233.24 	1,735.17 	10,498.18
MAY 2016	11,725.20 	1,651.61 	10,073.63
JUN 2016	11,608.99 	1,813.80 	9,795.26
JUL 2016	11,549.92 	1,838.39 	9,711.53
AGO 2016	11,258.53 	1,803.70 	9,455.33
SEP 2016	11,038.82 	1,818.02 	9,221.09
OCT 2016	10,694.29 	1,754.93 	8,939.36
NOV 2016	10,353.11 	1,638.06 	8,715.05
DIC 2016	10,080.96 	1,594.65 	8,486.72
ENE 2017	9,838.66 	1,647.57 	8,191.10
FEB 2017	9,804.82 	1,719.21 	8,085.61
MAR 2017	10,260.82 	1,711.00 	8,550.08
ABR 2017	10,025.19 	1,737.72 	8,287.58
MAY 2017	10,253.68 	1,735.37 	8,518.31
JUN 2017	10,305.74 	1,712.05 	8,593.75
JUL 2017	10,357.85 	1,745.38 	8,612.55
AGO 2017	10,452.19 	1,798.02 	8,654.22
SEP 2017	10,129.55 	1,768.67 	8,360.95
OCT 2017	9,934.34 	1,753.59 	8,180.79
NOV 2017	10,631.82 	1,766.64 	8,865.20
DIC 2017	10,260.64 	1,787.10 	8,473.53
ENE 2018	10,226.04 	1,849.58 	8,376.46
FEB 2018	9,964.94 	1,818.34 	8,147.09
MAR 2018	9,804.61 	1,827.13 	7,977.50
ABR 2018	9,602.22 	1,824.59 	7,777.72
MAY 2018	9,758.66 	1,792.23 	7,966.52
JUN 2018	9,522.24 	1,721.27 	7,800.97
JUL 2018	9,256.51 	1,684.63 	7,571.93
AGO 2018	9,079.61 	1,654.77 	7,425.38
SEP 2018	8,729.33 	1,632.00 	7,097.32
OCT 2018	8,506.35 	1,686.31 	6,820.07
NOV 2018	8,739.58 	1,687.54 	7,052.04
DIC 2018	8,946.30 	1,768.09 	7,178.28
ENE 2019	8,723.56 	1,823.53 	6,900.32
FEB 2019	8,474.84 	1,821.79 	6,653.05
MAR 2019	7,946.53 	1,782.60 	6,163.93
ABR 2019	8,409.46 	1,767.43 	6,642.03
MAY 2019	8,253.34 	1,779.46 	6,473.88
JUN 2019	8,316.89 	1,944.81 	6,372.15
JUL 2019	8,046.60 	1,975.36 	6,071.45
AGO 2019	8,026.71 	2,108.97 	5,918.33
SEP 2019	7,650.23 	2,068.54 	5,581.70
OCT 2019	6,829.81 	2,066.31 	4,763.53
NOV 2019	6,459.54 	2,013.55 	4,446.00
DIC 2019	6,467.53 	2,093.42 	4,374.11
ENE 2020	6,373.55 	2,180.55 	4,193.00
FEB 2020	6,309.69 	2,267.62 	4,042.07
MAR 2020	6,090.58 	2,237.81 	3,852.77
ABR 2020	6,532.35 	2,350.39 	4,181.97
MAY 2020	6,389.73 	2,372.31 	4,017.42
JUN 2020	6,272.37 	2,444.27 	3,828.10
JUL 2020	6,608.23 	2,687.59 	3,920.65
AGO 2020	6,644.18 	2,720.61 	3,923.58
SEP 2020	6,355.79 	2,619.54 	3,736.25
OCT 2020	5,578.06 	2,582.12 	2,995.94
NOV 2020	5,304.52 	2,483.32 	2,821.20
DIC 2020	5,275.94 	2,613.46 	2,662.48
ENE 2021	4,963.76 	2,544.59 	2,420.27
FEB 2021	4,769.87 	2,457.51 	2,312.36
MAR 2021	4,525.89 	2,323.67 	2,202.28
ABR 2021	4,628.54 	2,448.34 	2,181.02
MAY 2021	4,886.76 	2,627.85 	2,258.90
JUN 2021	4,624.27 	2,435.32 	2,188.95
JUL 2021	4,745.56 	2,528.51 	2,217.04
AGO 2021	5,116.24 	2,502.64 	2,613.60
SEP 2021	4,830.67 	2,383.54 	2,447.13
OCT 2021	4,890.17 	2,485.57 	2,404.60
NOV 2021	4,762.26 	2,463.89 	2,298.37
DIC 2021	4,752.49 	2,511.00 	2,242.46
ENE 2022	4,483.35 	2,469.68 	2,013.67
FEB 2022	4,396.18 	2,600.32 	1,795.86
MAR 2022	4,599.03 	2,675.40 	1,923.63
ABR 2022	4,602.18 	2,616.85 	1,985.33
MAY 2022	4,577.54 	2,564.93 	2,012.62
JUN 2022	4,505.45 	2,513.67 	1,991.77
JUL 2022	4,301.06 	2,428.42 	1,872.64
AGO 2022	3,806.97 	2,386.04 	1,420.93
SEP 2022	3,844.16 	2,295.13 	1,549.04
OCT 2022	3,687.16 	2,275.32 	1,411.84
NOV 2022	3,808.28 	2,425.14 	1,383.14
DIC 2022	3,796.18 	2,518.73 	1,277.45
ENE 2023	3,616.01 	2,664.91 	951.11
FEB 2023	3,148.52 	2,523.28 	625.24
MAR 2023	3,112.26 	2,746.79 	365.47
ABR 2023	3,158.30 	2,757.75 	400.55
MAY 2023	2,951.92 	2,572.53 	379.39
JUN 2023	2,611.58 	2,169.94 	441.65
JUL 2023	2,512.93 	1,957.88 	555.05
AGO 2023	2,147.31 	1,629.70 	517.61
SEP 2023	1,817.61 	1,466.62 	350.99
OCT 2023	1,653.80 	1,424.22 	229.57
NOV 2023	1,687.52 	1,460.98 	226.54
DIC 2023	1,708.59 	1,566.26 	241.50
ENE 2024	1,615.56 	1,467.82 	247.51
FEB 2024	1,581.87 	1,455.65 	226.47
MAR 2024	1,677.06 	1,553.70 	224.13
ABR 2024	1,796.40 	1,688.48 	209.19
MAY 2024	1,938.30 	1,659.29 	380.79
JUN 2024	1,838.91 	1,666.38 	274.83
JUL 2024	1,820.19 	1,722.10 	200.90
AGO 2024	1,905.27 	1,815.10 	193.50
SEP 2024	1,966.37 	1,889.80 	180.40
OCT 2024	2,065.40 	1,991.80 	177.90
NOV 2024	1,952.10 	1,875.00 	181.90
DIC 2024	1,976.10 	1,889.30 	87.30
ENE 2025	2,103.40 	1,996.70 	106.70
FEB 2025	2,187.90 	2,055.90 	132.00
MAR 2025	2,302.00 	2,194.10 	107.90
ABR 2025	2,618.10 	2,397.20 	220.90