AÑO,MES,COMPRA,VENTA
"1,990 ",ENE,2.9865 ,2.9965 
"1,990 ",FEB,3.0246 ,3.0346 
"1,990 ",MAR,3.0603 ,3.0703 
"1,990 ",ABR,3.0903 ,3.1003 
"1,990 ",MAY,3.1174 ,3.1274 
"1,990 ",JUN,3.1377 ,3.1477 
"1,990 ",JUL,3.1610 ,3.1710 
"1,990 ",AGO,3.1877 ,3.1977 
"1,990 ",SEP,3.2310 ,3.2410 
"1,990 ",OCT,3.2748 ,3.2848 
"1,990 ",NOV,3.3147 ,3.3247 
"1,990 ",DIC,3.3648 ,3.3748 
"1,991 ",ENE,3.4294 ,3.4394 
"1,991 ",FEB,3.4621 ,3.4721 
"1,991 ",MAR,3.4919 ,3.5019 
"1,991 ",ABR,3.5157 ,3.5257 
"1,991 ",MAY,3.5374 ,3.5474 
"1,991 ",JUN,3.5640 ,3.5740 
"1,991 ",JUL,3.5887 ,3.5987 
"1,991 ",AGO,3.6081 ,3.6181 
"1,991 ",SEP,3.6327 ,3.6427 
"1,991 ",OCT,3.6626 ,3.6726 
"1,991 ",NOV,3.6910 ,3.7010 
"1,991 ",DIC,3.7158 ,3.7258 
"1,992 ",ENE,3.7484 ,3.7584 
"1,992 ",FEB,3.7676 ,3.7776 
"1,992 ",MAR,3.7871 ,3.7971 
"1,992 ",ABR,3.8063 ,3.8163 
"1,992 ",MAY,3.8319 ,3.8419 
"1,992 ",JUN,3.8597 ,3.8697 
"1,992 ",JUL,3.8942 ,3.9042 
"1,992 ",AGO,3.9387 ,3.9487 
"1,992 ",SEP,3.9833 ,3.9933 
"1,992 ",OCT,4.0135 ,4.0235 
"1,992 ",NOV,4.0417 ,4.0517 
"1,992 ",DIC,4.0745 ,4.0845 
"1,993 ",ENE,4.0977 ,4.1077 
"1,993 ",FEB,4.1246 ,4.1346 
"1,993 ",MAR,4.1545 ,4.1645 
"1,993 ",ABR,4.1830 ,4.1930 
"1,993 ",MAY,4.2126 ,4.2226 
"1,993 ",JUN,4.2433 ,4.2533 
"1,993 ",JUL,4.2732 ,4.2832 
"1,993 ",AGO,4.3000 ,4.3100 
"1,993 ",SEP,4.3273 ,4.3373 
"1,993 ",OCT,4.3616 ,4.3716 
"1,993 ",NOV,4.4020 ,4.4120 
"1,993 ",DIC,4.4426 ,4.4526 
"1,994 ",ENE,4.4794 ,4.4894 
"1,994 ",FEB,4.5114 ,4.5214 
"1,994 ",MAR,4.5535 ,4.5635 
"1,994 ",ABR,4.5820 ,4.5920 
"1,994 ",MAY,4.6097 ,4.6197 
"1,994 ",JUN,4.6450 ,4.6550 
"1,994 ",JUL,4.6445 ,4.6545 
"1,994 ",AGO,4.6590 ,4.6690 
"1,994 ",SEP,4.6703 ,4.6803 
"1,994 ",OCT,4.6606 ,4.6706 
"1,994 ",NOV,4.6760 ,4.6860 
"1,994 ",DIC,4.6948 ,4.7048 
"1,995 ",ENE,4.7103 ,4.7203 
"1,995 ",FEB,4.7207 ,4.7307 
"1,995 ",MAR,4.7390 ,4.7490 
"1,995 ",ABR,4.7607 ,4.7707 
"1,995 ",MAY,4.7568 ,4.7668 
"1,995 ",JUN,4.7777 ,4.7877 
"1,995 ",JUL,4.7948 ,4.8048 
"1,995 ",AGO,4.8184 ,4.8284 
"1,995 ",SEP,4.8417 ,4.8517 
"1,995 ",OCT,4.8532 ,4.8632 
"1,995 ",NOV,4.8723 ,4.8813 
"1,995 ",DIC,4.9087 ,4.9187 
"1,996 ",ENE,4.9494 ,4.9594 
"1,996 ",FEB,4.9710 ,4.9810 
"1,996 ",MAR,4.9935 ,5.0035 
"1,996 ",ABR,5.0207 ,5.0307 
"1,996 ",MAY,5.0510 ,5.0610 
"1,996 ",JUN,5.0567 ,5.0667 
"1,996 ",JUL,5.0845 ,5.0945 
"1,996 ",AGO,5.1097 ,5.1197 
"1,996 ",SEP,5.1333 ,5.1433 
"1,996 ",OCT,5.1658 ,5.1758 
"1,996 ",NOV,5.1667 ,5.1767 
"1,996 ",DIC,5.1684 ,5.1784 
"1,997 ",ENE,5.1894 ,5.1994 
"1,997 ",FEB,5.2032 ,5.2132 
"1,997 ",MAR,5.2184 ,5.2284 
"1,997 ",ABR,5.2253 ,5.2353 
"1,997 ",MAY,5.2158 ,5.2258 
"1,997 ",JUN,5.2173 ,5.2273 
"1,997 ",JUL,5.2316 ,5.2416 
"1,997 ",AGO,5.2555 ,5.2655 
"1,997 ",SEP,5.2713 ,5.2813 
"1,997 ",OCT,5.2948 ,5.3048 
"1,997 ",NOV,5.3173 ,5.3273 
"1,997 ",DIC,5.3452 ,5.3552 
"1,998 ",ENE,5.3774 ,5.3674 
"1,998 ",FEB,5.4046 ,5.3946 
"1,998 ",MAR,5.4374 ,5.4274 
"1,998 ",ABR,5.4727 ,5.4627 
"1,998 ",MAY,5.4913 ,5.4813 
"1,998 ",JUN,5.5100 ,5.5000 
"1,998 ",JUL,5.5316 ,5.5216 
"1,998 ",AGO,5.5465 ,5.5365 
"1,998 ",SEP,5.5677 ,5.5577 
"1,998 ",OCT,5.5942 ,5.5842 
"1,998 ",NOV,5.6133 ,5.6033 
"1,998 ",DIC,5.6365 ,5.6265 
"1,999 ",ENE,5.6410 ,5.6574 
"1,999 ",FEB,5.6632 ,5.6832 
"1,999 ",MAR,5.6929 ,5.7129 
"1,999 ",ABR,5.7230 ,5.7430 
"1,999 ",MAY,5.7539 ,5.7739 
"1,999 ",JUN,5.7787 ,5.7987 
"1,999 ",JUL,5.8177 ,5.8377 
"1,999 ",AGO,5.8513 ,5.8713 
"1,999 ",SEP,5.8863 ,5.9063 
"1,999 ",OCT,5.9203 ,5.9403 
"1,999 ",NOV,5.9470 ,5.9670 
"1,999 ",DIC,5.9703 ,5.9903 
"2,000 ",ENE,5.9955 ,6.0155 
"2,000 ",FEB,6.0279 ,6.0479 
"2,000 ",MAR,6.0635 ,6.0835 
"2,000 ",ABR,6.0957 ,6.1157 
"2,000 ",MAY,6.1277 ,6.1477 
"2,000 ",JUN,6.1573 ,6.1773 
"2,000 ",JUL,6.1868 ,6.2068 
"2,000 ",AGO,6.2181 ,6.2381 
"2,000 ",SEP,6.2507 ,6.2707 
"2,000 ",OCT,6.2819 ,6.3019 
"2,000 ",NOV,6.3163 ,6.3363 
"2,000 ",DIC,6.3587 ,6.3787 
"2,001 ",ENE,6.3971 ,6.4171 
"2,001 ",FEB,6.4207 ,6.4407 
"2,001 ",MAR,6.4561 ,6.4761 
"2,001 ",ABR,6.4897 ,6.5097 
"2,001 ",MAY,6.5184 ,6.5384 
"2,001 ",JUN,6.5613 ,6.5813 
"2,001 ",JUL,6.6129 ,6.6329 
"2,001 ",AGO,6.6648 ,6.6848 
"2,001 ",SEP,6.7020 ,6.7220 
"2,001 ",OCT,6.7445 ,6.7645 
"2,001 ",NOV,6.7897 ,6.8097 
"2,001 ",DIC,6.8058 ,6.8258 
"2,002 ",ENE,6.8513 ,6.8713 
"2,002 ",FEB,6.9282 ,6.9482 
"2,002 ",MAR,6.9861 ,7.0061 
"2,002 ",ABR,7.0353 ,7.0553 
"2,002 ",MAY,7.0500 ,7.0700 
"2,002 ",JUN,7.1190 ,7.1390 
"2,002 ",JUL,7.1813 ,7.2013 
"2,002 ",AGO,7.2477 ,7.2677 
"2,002 ",SEP,7.3053 ,7.3253 
"2,002 ",OCT,7.3603 ,7.3813 
"2,002 ",NOV,7.4027 ,7.4227 
"2,002 ",DIC,7.4523 ,7.4723 
"2,003 ",ENE,7.5106 ,7.5306 
"2,003 ",FEB,7.5400 ,7.5600 
"2,003 ",MAR,7.5668 ,7.5868 
"2,003 ",ABR,7.5890 ,7.6090 
"2,003 ",MAY,7.5974 ,7.6174 
"2,003 ",JUN,7.6260 ,7.6460 
"2,003 ",JUL,7.6587 ,7.6787 
"2,003 ",AGO,7.6916 ,7.7116 
"2,003 ",SEP,7.7217 ,7.7417 
"2,003 ",OCT,7.7403 ,7.7603 
"2,003 ",NOV,7.7553 ,7.7753 
"2,003 ",DIC,7.7926 ,7.8126 
"2,004 ",ENE,7.8310 ,7.8510 
"2,004 ",FEB,7.8414 ,7.8614 
"2,004 ",MAR,7.8748 ,7.8948 
"2,004 ",ABR,7.8823 ,7.9023 
"2,004 ",MAY,7.8961 ,7.9161 
"2,004 ",JUN,7.9080 ,7.9280 
"2,004 ",JUL,7.9216 ,7.9416 
"2,004 ",AGO,7.9445 ,7.9645 
"2,004 ",SEP,7.9720 ,7.9920 
"2,004 ",OCT,7.9965 ,8.0165 
"2,004 ",NOV,8.0173 ,8.0373 
"2,004 ",DIC,8.0297 ,8.0497 
"2,005 ",ENE,8.0455 ,8.0655 
"2,005 ",FEB,8.0543 ,8.0743 
"2,005 ",MAR,8.0719 ,8.0919 
"2,005 ",ABR,8.0800 ,8.1000 
"2,005 ",MAY,8.0800 ,8.1000 
"2,005 ",JUN,8.0800 ,8.1000 
"2,005 ",JUL,8.0632 ,8.0948 
"2,005 ",AGO,8.0300 ,8.0900 
"2,005 ",SEP,8.0240 ,8.0840 
"2,005 ",OCT,8.0161 ,8.0800 
"2,005 ",NOV,8.0000 ,8.0800 
"2,005 ",DIC,8.0000 ,8.0800 
"2,006 ",ENE,8.0000 ,8.0800 
"2,006 ",FEB,7.9936 ,8.0736 
"2,006 ",MAR,7.9752 ,8.0700 
"2,006 ",ABR,7.9690 ,8.0690 
"2,006 ",MAY,7.9600 ,8.0600 
"2,006 ",JUN,7.9600 ,8.0600 
"2,006 ",JUL,7.9600 ,8.0600 
"2,006 ",AGO,7.9558 ,8.0558 
"2,006 ",SEP,7.9500 ,8.0500 
"2,006 ",OCT,7.9500 ,8.0500 
"2,006 ",NOV,7.9500 ,8.0500 
"2,006 ",DIC,7.9384 ,8.0384 
"2,007 ",ENE,7.9155 ,8.0155 
"2,007 ",FEB,7.9050 ,8.0050 
"2,007 ",MAR,7.8900 ,7.9900 
"2,007 ",ABR,7.8900 ,7.9900 
"2,007 ",MAY,7.8771 ,7.9771 
"2,007 ",JUN,7.8600 ,7.9600 
"2,007 ",JUL,7.8100 ,7.9100 
"2,007 ",AGO,7.7377 ,7.8377 
"2,007 ",SEP,7.7100 ,7.8100 
"2,007 ",OCT,7.6984 ,7.7984 
"2,007 ",NOV,7.6533 ,7.7533 
"2,007 ",DIC,7.5945 ,7.6945 
"2,008 ",ENE,7.5532 ,7.6532 
"2,008 ",FEB,7.4948 ,7.5948 
"2,008 ",MAR,7.4516 ,7.5516 
"2,008 ",ABR,7.3540 ,7.4540 
"2,008 ",MAY,7.2458 ,7.3458 
"2,008 ",JUN,7.1680 ,7.2680 
"2,008 ",JUL,7.0787 ,7.1787 
"2,008 ",AGO,7.0135 ,7.1135 
"2,008 ",SEP,6.9900 ,7.0900 
"2,008 ",OCT,6.9719 ,7.0719 
"2,008 ",NOV,6.9700 ,7.0700 
"2,008 ",DIC,6.9700 ,7.0700 
"2,009 ",ENE,6.9700 ,7.0700 
"2,009 ",FEB,6.9700 ,7.0700 
"2,009 ",MAR,6.9700 ,7.0700 
"2,009 ",ABR,6.9700 ,7.0700 
"2,009 ",MAY,6.9700 ,7.0700 
"2,009 ",JUN,6.9700 ,7.0700 
"2,009 ",JUL,6.9700 ,7.0700 
"2,009 ",AGO,6.9700 ,7.0700 
"2,009 ",SEP,6.9700 ,7.0700 
"2,009 ",OCT,6.9700 ,7.0700 
"2,009 ",NOV,6.9700 ,7.0700 
"2,009 ",DIC,6.9700 ,7.0700 
"2,010 ",ENE,6.9700 ,7.0700 
"2,010 ",FEB,6.9700 ,7.0700 
"2,010 ",MAR,6.9700 ,7.0700 
"2,010 ",ABR,6.9700 ,7.0700 
"2,010 ",MAY,6.9700 ,7.0700 
"2,010 ",JUN,6.9700 ,7.0700 
"2,010 ",JUL,6.9700 ,7.0700 
"2,010 ",AGO,6.9700 ,7.0700 
"2,010 ",SEP,6.9700 ,7.0700 
"2,010 ",OCT,6.9700 ,7.0700 
"2,010 ",NOV,6.9677 ,7.0677 
"2,010 ",DIC,6.9477 ,7.0477 
"2,011 ",ENE,6.9400 ,7.0400 
"2,011 ",FEB,6.9264 ,7.0264 
"2,011 ",MAR,6.9071 ,7.0071 
"2,011 ",ABR,6.8928 ,6.9928 
"2,011 ",MAY,6.8900 ,6.9900 
"2,011 ",JUN,6.8810 ,6.9810 
"2,011 ",JUL,6.8761 ,6.9761 
"2,011 ",AGO,6.8700 ,6.9700 
"2,011 ",SEP,6.8700 ,6.9700 
"2,011 ",OCT,6.8700 ,6.9700 
"2,011 ",NOV,6.8603 ,6.9603 
"2,011 ",DIC,6.8600 ,6.9600 
"2,012 ",ENE,6.8600 ,6.9600 
"2,012 ",FEB,6.8600 ,6.9600 
"2,012 ",MAR,6.8600 ,6.9600 
"2,012 ",ABR,6.8600 ,6.9600 
"2,012 ",MAY,6.8600 ,6.9600 
"2,012 ",JUN,6.8600 ,6.9600 
"2,012 ",JUL,6.8600 ,6.9600 
"2,012 ",AGO,6.8600 ,6.9600 
"2,012 ",SEP,6.8600 ,6.9600 
"2,012 ",OCT,6.8600 ,6.9600 
"2,012 ",NOV,6.8600 ,6.9600 
"2,012 ",DIC,6.8600 ,6.9600 
"2,013 ",ENE,6.8600 ,6.9600 
"2,013 ",FEB,6.8600 ,6.9600 
"2,013 ",MAR,6.8600 ,6.9600 
"2,013 ",ABR,6.8600 ,6.9600 
"2,013 ",MAY,6.8600 ,6.9600 
"2,013 ",JUN,6.8600 ,6.9600 
"2,013 ",JUL,6.8600 ,6.9600 
"2,013 ",AGO,6.8600 ,6.9600 
"2,013 ",SEP,6.8600 ,6.9600 
"2,013 ",OCT,6.8600 ,6.9600 
"2,013 ",NOV,6.8600 ,6.9600 
"2,013 ",DIC,6.8600 ,6.9600 
"2,014 ",ENE,6.8600 ,6.9600 
"2,014 ",FEB,6.8600 ,6.9600 
"2,014 ",MAR,6.8600 ,6.9600 
"2,014 ",ABR,6.8600 ,6.9600 
"2,014 ",MAY,6.8600 ,6.9600 
"2,014 ",JUN,6.8600 ,6.9600 
"2,014 ",JUL,6.8600 ,6.9600 
"2,014 ",AGO,6.8600 ,6.9600 
"2,014 ",SEP,6.8600 ,6.9600 
"2,014 ",OCT,6.8600 ,6.9600 
"2,014 ",NOV,6.8600 ,6.9600 
"2,014 ",DIC,6.8600 ,6.9600 
"2,015 ",ENE,6.8600 ,6.9600 
"2,015 ",FEB,6.8600 ,6.9600 
"2,015 ",MAR,6.8600 ,6.9600 
"2,015 ",ABR,6.8600 ,6.9600 
"2,015 ",MAY,6.8600 ,6.9600 
"2,015 ",JUN,6.8600 ,6.9600 
"2,015 ",JUL,6.8600 ,6.9600 
"2,015 ",AGO,6.8600 ,6.9600 
"2,015 ",SEP,6.8600 ,6.9600 
"2,015 ",OCT,6.8600 ,6.9600 
"2,015 ",NOV,6.8600 ,6.9600 
"2,015 ",DIC,6.8600 ,6.9600 
"2,016 ",ENE,6.8600 ,6.9600 
"2,016 ",FEB,6.8600 ,6.9600 
"2,016 ",MAR,6.8600 ,6.9600 
"2,016 ",ABR,6.8600 ,6.9600 
"2,016 ",MAY,6.8600 ,6.9600 
"2,016 ",JUN,6.8600 ,6.9600 
"2,016 ",JUL,6.8600 ,6.9600 
"2,016 ",AGO,6.8600 ,6.9600 
"2,016 ",SEP,6.8600 ,6.9600 
"2,016 ",OCT,6.8600 ,6.9600 
"2,016 ",NOV,6.8600 ,6.9600 
"2,016 ",DIC,6.8600 ,6.9600 
"2,017 ",ENE,6.8600 ,6.9600 
"2,017 ",FEB,6.8600 ,6.9600 
"2,017 ",MAR,6.8600 ,6.9600 
"2,017 ",ABR,6.8600 ,6.9600 
"2,017 ",MAY,6.8600 ,6.9600 
"2,017 ",JUN,6.8600 ,6.9600 
"2,017 ",JUL,6.8600 ,6.9600 
"2,017 ",AGO,6.8600 ,6.9600 
"2,017 ",SEP,6.8600 ,6.9600 
"2,017 ",OCT,6.8600 ,6.9600 
"2,017 ",NOV,6.8600 ,6.9600 
"2,017 ",DIC,6.8600 ,6.9600 
"2,018 ",ENE,6.8600 ,6.9600 
"2,018 ",FEB,6.8600 ,6.9600 
"2,018 ",MAR,6.8600 ,6.9600 
"2,018 ",ABR,6.8600 ,6.9600 
"2,018 ",MAY,6.8600 ,6.9600 
"2,018 ",JUN,6.8600 ,6.9600 
"2,018 ",JUL,6.8600 ,6.9600 
"2,018 ",AGO,6.8600 ,6.9600 
"2,018 ",SEP,6.8600 ,6.9600 
"2,018 ",OCT,6.8600 ,6.9600 
"2,018 ",NOV,6.8600 ,6.9600 
"2,018 ",DIC,6.8600 ,6.9600 
"2,019 ",ENE,6.8600 ,6.9600 
"2,019 ",FEB,6.8600 ,6.9600 
"2,019 ",MAR,6.8600 ,6.9600 
"2,019 ",ABR,6.8600 ,6.9600 
"2,019 ",MAY,6.8600 ,6.9600 
"2,019 ",JUN,6.8600 ,6.9600 
"2,019 ",JUL,6.8600 ,6.9600 
"2,019 ",AGO,6.8600 ,6.9600 
"2,019 ",SEP,6.8600 ,6.9600 
"2,019 ",OCT,6.8600 ,6.9600 
"2,019 ",NOV,6.8600 ,6.9600 
"2,019 ",DIC,6.8600 ,6.9600 
"2,020 ",ENE,6.8600 ,6.9600 
"2,020 ",FEB,6.8600 ,6.9600 
"2,020 ",MAR,6.8600 ,6.9600 
"2,020 ",ABR,6.8600 ,6.9600 
"2,020 ",MAY,6.8600 ,6.9600 
"2,020 ",JUN,6.8600 ,6.9600 
"2,020 ",JUL,6.8600 ,6.9600 
"2,020 ",AGO,6.8600 ,6.9600 
"2,020 ",SEP,6.8600 ,6.9600 
"2,020 ",OCT,6.8600 ,6.9600 
"2,020 ",NOV,6.8600 ,6.9600 
"2,020 ",DIC,6.8600 ,6.9600 
"2,021 ",ENE,6.8600 ,6.9600 
"2,021 ",FEB,6.8600 ,6.9600 
"2,021 ",MAR,6.8600 ,6.9600 
"2,021 ",ABR,6.8600 ,6.9600 
"2,021 ",MAY,6.8600 ,6.9600 
"2,021 ",JUN,6.8600 ,6.9600 
"2,021 ",JUL,6.8600 ,6.9600 
"2,021 ",AGO,6.8600 ,6.9600 
"2,021 ",SEP,6.8600 ,6.9600 
"2,021 ",OCT,6.8600 ,6.9600 
"2,021 ",NOV,6.8600 ,6.9600 
"2,021 ",DIC,6.8600 ,6.9600 
"2,022 ",ENE,6.8600 ,6.9600 
"2,022 ",FEB,6.8600 ,6.9600 
"2,022 ",MAR,6.8600 ,6.9600 
"2,022 ",ABR,6.8600 ,6.9600 
"2,022 ",MAY,6.8600 ,6.9600 
"2,022 ",JUN,6.8600 ,6.9600 
"2,022 ",JUL,6.8600 ,6.9600 
"2,022 ",AGO,6.8600 ,6.9600 
"2,022 ",SEP,6.8600 ,6.9600 
"2,022 ",OCT,6.8600 ,6.9600 
"2,022 ",NOV,6.8600 ,6.9600 
"2,022 ",DIC,6.8600 ,6.9600 
"2,023 ",ENE,6.8600 ,6.9600 
"2,023 ",FEB,6.8600 ,6.9600 
"2,023 ",MAR,6.8600 ,6.9600 
"2,023 ",ABR,6.8600 ,6.9600 
"2,023 ",MAY,6.8600 ,6.9600 
"2,023 ",JUN,6.8600 ,6.9600 
"2,023 ",JUL,6.8600 ,6.9600 
"2,023 ",AGO,6.8600 ,6.9600 
"2,023 ",SEP,6.8600 ,6.9600 
"2,023 ",OCT,6.8600 ,6.9600 
"2,023 ",NOV,6.8600 ,6.9600 
"2,023 ",DIC,6.8600 ,6.9600 
"2,024 ",ENE,6.8600 ,6.9600 
"2,024 ",FEB,6.8600 ,6.9600 
"2,024 ",MAR,6.8600 ,6.9600 
"2,024 ",ABR,6.8600 ,6.9600 
"2,024 ",MAY,6.8600 ,6.9600 
"2,024 ",JUN,6.8600 ,6.9600 
"2,024 ",JUL,6.8600 ,6.9600 
"2,024 ",AGO,6.8600 ,6.9600 
"2,024 ",SEP,6.8600 ,6.9600 
"2,024 ",OCT,6.8600 ,6.9600 
"2,024 ",NOV,6.8600 ,6.9600 
"2,024 ",DIC,6.8600 ,6.9600 
"2,025 ",ENE,6.8600 ,6.9600 
"2,025 ",FEB,6.8600 ,6.9600 
"2,025 ",MAR,6.8600 ,6.9600 
"2,025 ",ABR,6.8600 ,6.9600 
"2,025 ",MAY,6.8600 ,6.9600 