MES	RIN	AEN
ENE 2004	892.25 	1,662.06
FEB 2004	861.15 	1,581.58
MAR 2004	888.87 	1,646.03
ABR 2004	791.40 	1,493.95
MAY 2004	817.68 	1,588.98
JUN 2004	804.80 	1,445.17
JUL 2004	859.60 	1,528.64
AGO 2004	897.95 	1,648.41
SEP 2004	950.60 	1,797.09
OCT 2004	994.76 	1,834.39
NOV 2004	1,059.41 	1,930.04
DIC 2004	1,123.30 	1,942.32
ENE 2005	1,016.13 	1,893.51
FEB 2005	1,045.70 	1,925.44
MAR 2005	1,035.44 	1,941.91
ABR 2005	1,102.26 	2,077.96
MAY 2005	1,094.18 	2,094.09
JUN 2005	1,162.95 	2,151.58
JUL 2005	1,247.73 	2,289.52
AGO 2005	1,337.63 	2,445.75
SEP 2005	1,390.07 	2,560.80
OCT 2005	1,517.71 	2,753.06
NOV 2005	1,649.52 	2,914.64
DIC 2005	1,714.16 	2,912.77
ENE 2006	1,823.47 	3,028.65
FEB 2006	1,875.33 	3,122.24
MAR 2006	2,012.69 	3,293.00
ABR 2006	2,214.14 	3,446.54
MAY 2006	2,401.29 	3,564.88
JUN 2006	2,474.07 	3,608.39
JUL 2006	2,671.30 	3,823.45
AGO 2006	2,773.63 	4,000.27
SEP 2006	2,885.22 	4,165.78
OCT 2006	2,970.67 	4,304.76
NOV 2006	3,070.69 	4,530.22
DIC 2006	3,174.31 	4,641.01
ENE 2007	3,237.51 	4,832.95
FEB 2007	3,362.98 	5,020.09
MAR 2007	3,532.69 	5,206.49
ABR 2007	3,733.76 	5,396.49
MAY 2007	3,837.29 	5,517.96
JUN 2007	3,885.79 	5,541.86
JUL 2007	4,092.48 	5,717.60
AGO 2007	4,368.01 	5,872.27
SEP 2007	4,742.54 	6,167.71
OCT 2007	4,898.85 	6,318.61
NOV 2007	5,063.30 	6,446.88
DIC 2007	5,302.07 	6,609.94
ENE 2008	5,604.95 	6,936.30
FEB 2008	5,990.12 	7,324.14
MAR 2008	6,188.75 	7,473.83
ABR 2008	6,465.45 	7,649.38
MAY 2008	6,794.57 	7,856.35
JUN 2008	7,073.61 	7,973.17
JUL 2008	7,398.01 	8,252.84
AGO 2008	7,682.97 	8,386.88
SEP 2008	7,810.73 	8,505.85
OCT 2008	7,535.29 	8,289.53
NOV 2008	7,617.75 	8,424.38
DIC 2008	7,722.03 	8,639.61
ENE 2009	7,783.50 	8,645.22
FEB 2009	7,679.11 	8,719.02
MAR 2009	7,764.97 	8,789.22
ABR 2009	7,740.19 	8,842.08
MAY 2009	7,894.58 	9,043.25
JUN 2009	7,955.65 	9,159.45
JUL 2009	8,008.19 	9,253.63
AGO 2009	8,310.01 	9,628.85
SEP 2009	8,453.46 	9,941.48
OCT 2009	8,599.16 	10,027.41
NOV 2009	8,760.17 	10,204.53
DIC 2009	8,580.10 	10,074.57
ENE 2010	8,558.37 	10,051.10
FEB 2010	8,523.51 	9,936.52
MAR 2010	8,447.34 	9,899.32
ABR 2010	8,440.24 	9,930.83
MAY 2010	8,455.69 	9,915.76
JUN 2010	8,537.32 	9,930.27
JUL 2010	8,616.87 	10,064.86
AGO 2010	8,737.18 	10,170.36
SEP 2010	9,058.47 	10,502.68
OCT 2010	9,207.68 	10,728.61
NOV 2010	9,263.37 	10,802.52
DIC 2010	9,718.81 	11,118.11
ENE 2011	10,016.12 	11,115.61
FEB 2011	10,347.45 	11,389.84
MAR 2011	10,475.11 	11,457.91
ABR 2011	10,747.65 	11,798.18
MAY 2011	10,676.73 	11,731.75
JUN 2011	10,749.78 	11,830.94
JUL 2011	11,026.98 	12,212.33
AGO 2011	11,632.06 	12,745.55
SEP 2011	11,408.14 	12,431.59
OCT 2011	11,902.66 	12,910.01
NOV 2011	12,114.15 	13,080.18
DIC 2011	12,018.55 	12,987.42
ENE 2012	12,488.94 	13,406.24
FEB 2012	12,739.12 	13,669.41
MAR 2012	12,746.65 	13,640.00
ABR 2012	12,573.12 	13,716.91
MAY 2012	12,421.88 	13,513.36
JUN 2012	12,439.76 	13,565.64
JUL 2012	12,747.99 	13,838.19
AGO 2012	13,063.70 	14,164.81
SEP 2012	13,419.26 	14,539.32
OCT 2012	13,771.75 	14,826.75
NOV 2012	13,925.79 	14,913.75
DIC 2012	13,926.72 	15,106.48
ENE 2013	14,049.00 	15,303.50
FEB 2013	14,100.62 	15,330.91
MAR 2013	14,187.68 	15,484.69
ABR 2013	14,206.26 	15,565.79
MAY 2013	14,007.63 	15,363.43
JUN 2013	13,951.70 	15,215.96
JUL 2013	14,310.63 	15,734.87
AGO 2013	14,401.29 	15,729.69
SEP 2013	14,517.55 	15,833.46
OCT 2013	14,249.98 	15,588.11
NOV 2013	14,228.17 	15,532.26
DIC 2013	14,430.14 	15,830.64
ENE 2014	14,519.41 	15,890.97
FEB 2014	14,557.70 	15,960.11
MAR 2014	14,490.56 	16,136.28
ABR 2014	14,533.06 	16,259.18
MAY 2014	14,540.69 	16,336.04
JUN 2014	14,808.85 	16,619.06
JUL 2014	14,873.38 	16,821.20
AGO 2014	15,395.17 	17,321.65
SEP 2014	15,271.85 	17,241.15
OCT 2014	15,386.73 	17,284.15
NOV 2014	15,477.40 	17,301.00
DIC 2014	15,122.84 	17,011.71
ENE 2015	15,087.16 	16,824.68
FEB 2015	15,143.51 	16,869.15
MAR 2015	14,967.53 	16,730.42
ABR 2015	14,840.97 	16,787.16
MAY 2015	14,647.68 	16,689.25
JUN 2015	14,707.94 	16,697.32
JUL 2015	14,486.08 	16,498.04
AGO 2015	14,352.66 	16,488.55
SEP 2015	14,226.77 	16,352.26
OCT 2015	13,967.16 	16,082.44
NOV 2015	13,528.43 	15,672.06
DIC 2015	13,055.90 	15,424.11
ENE 2016	12,818.31 	15,162.30
FEB 2016	12,787.38 	15,152.36
MAR 2016	12,482.76 	14,901.52
ABR 2016	12,233.24 	14,709.91
MAY 2016	11,725.20 	14,223.47
JUN 2016	11,608.99 	14,073.07
JUL 2016	11,549.92 	14,066.28
AGO 2016	11,258.53 	13,753.62
SEP 2016	11,038.82 	13,461.08
OCT 2016	10,694.29 	13,170.91
NOV 2016	10,353.11 	12,749.33
DIC 2016	10,080.96 	12,312.49
ENE 2017	9,838.66 	12,219.92
FEB 2017	9,804.82 	12,165.54
MAR 2017	10,260.82 	12,781.41
ABR 2017	10,025.19 	12,618.30
MAY 2017	10,253.68 	12,520.80
JUN 2017	10,305.74 	12,543.09
JUL 2017	10,357.85 	12,611.23
AGO 2017	10,452.19 	12,944.83
SEP 2017	10,129.55 	12,329.12
OCT 2017	9,934.34 	12,091.98
NOV 2017	10,631.82 	12,760.93
DIC 2017	10,260.64 	12,427.18
ENE 2018	10,226.04 	12,359.44
FEB 2018	9,964.94 	12,105.80
MAR 2018	9,804.61 	11,954.27
ABR 2018	9,602.22 	11,821.60
MAY 2018	9,758.66 	11,655.56
JUN 2018	9,522.24 	11,352.24
JUL 2018	9,256.51 	11,077.70
AGO 2018	9,079.61 	10,855.57
SEP 2018	8,729.33 	10,457.21
OCT 2018	8,506.35 	10,340.90
NOV 2018	8,739.58 	10,549.13
DIC 2018	8,946.30 	10,723.93
ENE 2019	8,723.56 	10,542.28
FEB 2019	8,474.84 	10,306.15
MAR 2019	7,946.53 	9,776.06
ABR 2019	8,409.46 	9,796.38
MAY 2019	8,253.34 	9,530.68
JUN 2019	8,316.89 	9,562.69
JUL 2019	8,046.60 	9,323.18
AGO 2019	8,026.71 	9,319.73
SEP 2019	7,650.23 	8,941.11
OCT 2019	6,829.81 	8,247.83
NOV 2019	6,459.54 	7,811.22
DIC 2019	6,467.53 	7,809.09
ENE 2020	6,373.55 	7,740.04
FEB 2020	6,309.69 	7,670.14
MAR 2020	6,090.58 	7,546.60
ABR 2020	6,532.35 	7,952.00
MAY 2020	6,389.73 	7,791.62
JUN 2020	6,272.37 	7,711.52
JUL 2020	6,608.23 	7,854.89
AGO 2020	6,644.18 	7,822.26
SEP 2020	6,355.79 	7,564.86
OCT 2020	5,578.06 	6,779.83
NOV 2020	5,304.52 	6,485.54
DIC 2020	5,275.94 	6,457.05
ENE 2021	4,963.76 	6,139.37
FEB 2021	4,769.87 	5,978.27
MAR 2021	4,525.89 	5,853.76
ABR 2021	4,628.54 	5,934.88
MAY 2021	4,886.76 	6,152.57
JUN 2021	4,624.27 	5,913.47
JUL 2021	4,745.56 	6,057.33
AGO 2021	5,116.24 	6,415.03
SEP 2021	4,830.67 	6,131.44
OCT 2021	4,890.17 	6,141.91
NOV 2021	4,762.26 	6,044.55
DIC 2021	4,752.49 	5,970.26
ENE 2022	4,483.35 	5,704.99
FEB 2022	4,396.18 	5,670.88
MAR 2022	4,599.03 	5,870.22
ABR 2022	4,602.18 	5,863.06
MAY 2022	4,577.54 	5,882.37
JUN 2022	4,505.45 	5,828.25
JUL 2022	4,301.06 	5,569.38
AGO 2022	3,806.97 	5,131.96
SEP 2022	3,844.16 	5,169.65
OCT 2022	3,687.16 	5,007.17
NOV 2022	3,808.28 	5,053.24
DIC 2022	3,796.18 	4,832.79
ENE 2023	3,616.01 	4,617.78
FEB 2023	3,148.52 	4,143.84
MAR 2023	3,112.26 	3,963.02
ABR 2023	3,158.30 	3,908.95
MAY 2023	2,951.92 	3,691.77
JUN 2023	2,611.58 	3,448.21
JUL 2023	2,512.93 	3,376.25
AGO 2023	2,147.31 	3,012.93
SEP 2023	1,817.61 	2,698.03
OCT 2023	1,653.80 	2,562.46
NOV 2023	1,687.52 	2,584.97
DIC 2023	1,708.59 	2,596.49
ENE 2024	1,615.56 	2,474.65
FEB 2024	1,581.87 	2,392.08
MAR 2024	1,677.06 	2,483.70
ABR 2024	1,796.40 	2,580.33
MAY 2024	1,938.30 	2,711.29
JUN 2024	1,838.91 	2,503.58
JUL 2024	1,820.19 	2,354.84
AGO 2024	1,905.27 	2,376.03
SEP 2024	1,966.37 	2,449.06
OCT 2024	2,065.40 	2,501.96
NOV 2024	1,952.10 	2,431.59
DIC 2024	1,976.10 	2,396.78